"Date","Pl","Tag","Q","Stms","Str","Crl","Dne","Straight","Curled","Done","Note","Old_note"
"7/9/20",1,1504,"",1,0,1,0,,,,,""
"7/9/20",1,1532,"",1,0,1,0,,,,,""
"7/9/20",1,1533,"",3,0,2,1,,,,,""
"7/9/20",1,1536,"",1,1,0,0,,,,,""
"7/9/20",1,1565,"",2,0,2,0,,,,,""
"7/9/20",1,1568,"",1,0,1,0,,,,,""
"7/9/20",2,1513,"",3,1,1,0,,,,,""
"7/9/20",2,1530,"",1,1,0,0,,,,,""
"7/9/20",2,1561,"",2,0,1,0,,,,,""
"7/9/20",6,1526,"",1,0,0,1,,,,,""
"7/9/20",6,1563,"",7,1,1,4,,,,,""
"7/9/20",14,1511,"",1,1,0,0,,,,,"1 budding stem"
"7/9/20",31,1509,"",1,0,0,0,,,,,"pv; will open tomorrow"
"7/9/20",31,1527,"",1,0,0,0,,,,,"pv"
"7/9/20",46,1562,"",3,2,0,0,,,,,""
"7/9/20",48,1535,"",1,0,0,1,,,,,"pv"
"7/9/20",49,1551,"",3,0,0,0,,,,,"2pv"
"7/9/20",50,1501,"",3,0,0,0,,,,,"is not 1505; pv"
"7/9/20",50,1505,"",2,0,0,0,,,,,"is not 1501; pv"
"7/9/20",50,1534,"",1,1,0,0,,,,,""
"7/9/20",71,1520,"",2,0,0,0,,,,,"1pv"
"7/9/20",71,1557,"",1,0,0,0,,,,,"pv"
"7/9/20",71,1567,"",2,0,0,0,,,,,"1pv"
"7/13/20",1,1537,"x",1,0,0,1,,,,,"pre-existing tag"
"7/13/20",1,1591,"",1,1,0,0,,,,,""
"7/13/20",2,1506,"",1,1,0,0,,,,,""
"7/13/20",2,1588,"",1,0,0,0,,,,,"pv"
"7/13/20",2,1590,"",1,0,0,1,,,,,"a possibly grazed 2nd stem"
"7/13/20",2,1598,"",1,0,0,1,,,,,""
"7/13/20",2,1611,"",4,1,1,3,,,,,""
"7/13/20",6,1515,"",2,0,0,0,,,,,"pv"
"7/13/20",9,1613,"",1,0,0,0,,,,,"pv"
"7/13/20",17,1594,"",2,0,0,0,,,,,"pv"
"7/13/20",25,1560,"",1,0,0,0,,,,,"pv"
"7/13/20",31,1507,"",1,1,2,0,,,,,"2 rosettes"
"7/13/20",31,1510,"",1,1,0,0,,,,,""
"7/13/20",31,1553,"",1,1,0,0,,,,,""
"7/13/20",31,1564,"",1,1,0,0,,,,,""
"7/13/20",31,1589,"",2,0,0,0,,,,,"2pv"
"7/13/20",32,1554,"",1,0,0,0,,,,,"1pv"
"7/13/20",32,1595,"",2,0,0,0,,,,,"1pv"
"7/13/20",32,1614,"",1,0,0,0,,,,,"1pv"
"7/13/20",33,1503,"",1,1,1,0,,,,,""
"7/13/20",33,1508,"",2,2,0,0,,,,,""
"7/13/20",33,1516,"",1,0,0,0,,,,,"pv"
"7/13/20",33,1518,"",1,0,0,0,,,,,"1pv"
"7/13/20",33,1521,"x",1,1,0,0,,,,,"deformed stigma"
"7/13/20",33,1529,"",2,1,0,0,,,,,"pv"
"7/13/20",33,1540,"",1,0,0,0,,,,,"pv"
"7/13/20",33,1547,"",1,0,0,0,,,,,"1pv"
"7/13/20",33,1550,"",2,0,0,0,,,,,"2pv"
"7/13/20",33,1552,"",2,1,1,9,,,,,""
"7/13/20",33,1555,"",3,0,1,0,,,,,"2pv"
"7/13/20",33,1558,"",1,0,0,0,,,,,"pv"
"7/13/20",33,1578,"",1,0,0,0,,,,,"1pv"
"7/13/20",33,1597,"",1,1,0,0,,,,,""
"7/13/20",33,1602,"",1,0,0,0,,,,,"pv"
"7/13/20",45,1531,"",1,0,0,0,,,,,"pv - tomorrow"
"7/13/20",45,1571,"",1,0,1,0,,,,,""
"7/13/20",45,1573,"",3,2,0,0,,,,,"1pv"
"7/13/20",45,1574,"",1,0,0,0,,,,,"pv"
"7/13/20",45,1592,"",2,0,0,0,,,,,"pv"
"7/13/20",45,1600,"",2,0,1,0,,,,,"1pv"
"7/13/20",45,1601,"",3,1,0,0,,,,,"1pv"
"7/13/20",45,1606,"",1,0,0,0,,,,,"1pv - tomorrow"
"7/13/20",46,1586,"",4,1,2,0,,,,,""
"7/13/20",47,1514,"",2,0,0,0,,,,,"1pv"
"7/13/20",47,1587,"",1,0,0,0,,,,,"pv"
"7/13/20",50,1538,"",1,0,0,0,,,,,"pv"
"7/13/20",50,1581,"",1,1,0,0,,,,,"deformed flower"
"7/13/20",50,1585,"",1,0,0,1,,,,,"more coming"
"7/13/20",50,1615,"",2,1,0,0,,,,,"1pv"
"7/13/20",53,1519,"",2,0,0,0,,,,,"2pv"
"7/13/20",53,1522,"",2,0,0,0,,,,,"1pv"
"7/13/20",53,1524,"",1,0,0,0,,,,,"1pv"
"7/13/20",53,1612,"",1,1,0,0,,,,,""
"7/13/20",68,1545,"",1,0,0,0,,,,,"pv"
"7/13/20",71,1512,"",2,0,1,0,,,,,"1pv"
"7/13/20",74,1599,"",1,0,0,0,,,,,"pv"
"7/13/20",78,1603,"",1,0,0,0,,,,,"pv"
