Tag,Plot,Racemes,Twist_ties,Note,Last_Record,Status_Jun_14,Note
1070,14,1,wh-op,,43993,,
1174,14,2,wh1,new tt,43993,,
1120,14,1,wh2,new tt,43993,,
1115,46,2,wh-op,,43993,,
1102,48,1,wh3,new tt,43993,,
1069,48,1,wh-op,,43993,,
1090,48,1,wh-op,,43993,,
1095,48,1,wh1,new tt,43993,,
1012,48,5,wh-op,,43993,,
1241,49,4,wh1,2 spreading; yv; new tt,43993,,
1121,49,2,wh-op,2 pods,43993,,
1104,49,1,wh-op,,43993,,
1237,51,3,wh2,[no infloresences listed but twist tied?],43993,,
1029,46,2,wh-done,,43993,x,
1031,48,2,wh-done,,43993,x,
1036,48,4,wh-done,2 seeding; one fl anthers no petals,43993,x,
1087,46,3,wh,2b,43984,,
