"Date","Pl","Tag","Q","Spr","Dne","Tt","Spread","Done","Note","Old_Note"
"07-09",2,1008,"",0,9,,-9,-9,,""
"07-09",2,1015,"",0,1,,-9,-9,,""
"07-09",2,1054,"",0,2,,-9,-9,,""
"07-09",2,1262,"",0,2,,-9,-9,,"seedishuge"
"07-09",3,1073,"",0,4,,-9,-9,,""
"07-13",3,1186,"",0,5,,,,,""
"07-13",3,1188,"",0,3,,,,,""
"07-13",3,1200,"",0,8,,,,,""
"07-13",5,1197,"",0,7,,-9,-9,,""
"07-13",5,1129,"",0,1,,,,,""
"07-09",8,1005,"",0,5,,-9,-9,,""
"07-09",10,1042,"",0,4,,-9,-9,,""
"07-09",10,1273,"",0,1,,-9,-9,,""
"07-13",13,1193,"",0,1,,-9,-9,,""
"07-13",13,1252,"",0,7,,-9,-9,,""
"07-13",13,1261,"",0,8,,-9,-9,,""
"07-13",13,1302,"",0,4,,-9,-9,,""
"07-09",18,1223,"",0,1,,-9,-9,,""
"07-13",18,1258,"",0,9,,-9,-9,,""
"07-09",19,1227,"",0,6,,-9,-9,,""
"07-13",20,1306,"",0,1,,,,,""
"07-09",21,1033,"",0,3,,-9,-9,,""
"07-09",22,1025,"",0,3,,-9,-9,,""
"07-09",22,1055,"",0,5,,-9,-9,,""
"07-13",22,1166,"",0,2,,-9,-9,,""
"07-09",22,1283,"",0,2,,-9,-9,,""
"07-13",22,1284,"",0,4,,-9,-9,,""
"07-09",22,1297,"",0,7,,-9,-9,,""
"07-13",23,1272,"",0,17,,-9,-9,,"OUTSIDENE"
"07-09",24,1064,"",0,1,,-9,-9,,""
"07-13",24,1315,"",0,2,,-9,-9,,"spiderweb"
"07-09",24,1289,"",0,1,,,,,""
"07-09",27,1076,"",0,15,,-9,-9,,""
"07-13",27,1092,"",0,21,,-9,-9,,""
"07-09",27,1097,"",0,10,,-9,-9,,""
"07-13",27,1108,"",0,13,,-9,-9,,""
"07-13",27,1195,"",0,9,,-9,-9,,""
"07-13",27,1249,"",0,8,,-9,-9,,""
"07-13",27,1254,"",0,5,,-9,-9,,""
"07-13",27,1276,"",0,6,,-9,-9,,""
"07-13",27,1280,"",0,7,,-9,-9,,""
"07-09",27,1298,"",0,6,,-9,-9,,""
"07-13",27,1179,"",0,8,,,,,""
"07-09",28,1251,"",0,5,,-9,-9,,"OUTSIDESW"
"07-13",29,1260,"",0,5,,-9,-9,,""
"07-13",29,1300,"",0,4,,,,,""
"07-13",30,1194,"",1,7,,,,,""
"07-09",30,1255,"",0,6,,,,,""
"07-09",31,1100,"",0,3,,-9,-9,,""
"07-13",31,1107,"",0,18,,-9,-9,,""
"07-13",32,1109,"",0,13,,-9,-9,,""
"07-13",32,1126,"",0,3,,-9,-9,,"spiderweb"
"07-09",32,1316,"",0,2,,-9,-9,,""
"07-13",32,1309,"x",0,8,,,,,"is1209;improve"
"07-09",33,1266,"",0,4,,-9,-9,,""
"07-13",42,1309,"",0,8,,-9,-9,,""
"07-13",42,1141,"",0,1,,,,,""
"07-09",43,1203,"",0,1,,-9,-9,,""
"07-13",43,1246,"",0,5,,-9,-9,,""
"07-09",43,1268,"",0,1,,-9,-9,,""
"07-09",43,1278,"",0,2,,-9,-9,,""
"07-09",43,1285,"",0,1,,-9,-9,,""
"07-13",43,1290,"",0,8,,-9,-9,,""
"07-09",43,1292,"",0,2,,-9,-9,,""
"07-13",43,1293,"",0,6,,-9,-9,,""
"07-13",43,1299,"",0,2,,-9,-9,,""
"07-13",43,1311,"",0,5,,-9,-9,,""
"07-09",45,1207,"",0,4,,-9,-9,,""
"07-09",45,1265,"",0,1,,-9,-9,,""
"07-09",47,1072,"",0,7,,-9,-9,,""
"07-09",47,1093,"",0,3,,-9,-9,,""
"07-09",47,1156,"",0,3,,-9,-9,,""
"07-13",47,1235,"",0,3,,-9,-9,,""
"07-13",47,1118,"",0,8,,,,,""
"07-13",49,1241,"",0,15,,-9,-9,,""
"07-13",49,1282,"",0,5,,-9,-9,,""
"07-09",50,1028,"",0,2,,-9,-9,,""
"07-13",50,1183,"",,,,,,,"can'tfind"
"07-13",50,1247,"",,,,,,,"can'tfind"
"07-09",51,1237,"",0,5,,-9,-9,,""
"07-09",51,1256,"",0,2,,-9,-9,,""
"07-09",51,1267,"",0,4,,-9,-9,,""
"07-09",51,1277,"",0,2,,-9,-9,,"1seeddropped"
"07-13",52,1307,"",0,2,,,,,""
"07-13",53,1314,"",0,6,,,,,"OUTSIDESW"
"07-09",61,1181,"",0,1,"",-9,-9,,""
"07-13",61,1294,"",0,10,,-9,-9,,""
"07-13",61,1125,"",0,6,,,,,""
"07-13",61,1170,"",0,9,,,,,""
"07-09",61,1288,"",,,,,,,"can'tfind"
"07-09",61,1295,"",,,,,,,"can'tfind"
"07-13",61,1303,"",0,2,,,,,""
"07-09",62,1216,"",0,11,,-9,-9,,""
"07-09",62,1295,"",0,5,,-9,-9,,""
"07-13",65,1130,"",0,4,,,,,""
"07-09",67,1291,"",0,3,,-9,-9,,"1204is(8;1)"
"07-13",67,1204,"",2,6,"",,,,"OUTSIDESW;iscloser(9in)than1291"
"07-09",68,1263,"",0,1,,-9,-9,,""
"07-13",69,1305,"",1,2,,,,,""
