"","Page","Date","Species","Plot","Tag","Racemes","Infl_spread","Infl_done","Twist.ties","Q","Note"
"1",,,,1,1239,,,,,,
"2",,,,2,1007,,,,,,
"3",,,,2,1009,,,,,,
"4",,,,2,1054,,,,,,
"5",,,,2,1213,,,,,,
"6",,,,6,1001,,,,,,
"7",,,,10,1233,,,,,,
"8",,,,12,1048,,,,,,
"9",,,,12,1146,,,,,,
"10",,,,14,1070,,,,,,
"11",,,,14,1077,,,,,,
"12",,,,14,1081,,,,,,
"13",,,,14,1120,,,,,,
"14",,,,14,1160,,,,,,
"15",,,,14,1174,,,,,,
"16",,,,14,1212,,,,,,
"17",,,,14,1218,,,,,,
"18",,,,14,1219,,,,,,
"19",,,,22,1043,,,,,,
"20",,,,22,1065,,,,,,
"21",,,,22,1077,,,,,,
"22",,,,25,1075,,,,,,
"23",,,,25,1081,,,,,,
"24",,,,25,1105,,,,,,
"25",,,,25,1106,,,,,,
"26",,,,25,1113,,,,,,
"27",,,,25,1116,,,,,,
"28",,,,26,1173,,,,,,
"29",,,,27,1061,,,,,,
"30",,,,27,1092,,,,,,
"31",,,,31,1094,,,,,,
"32",,,,31,1099,,,,,,
"33",,,,31,1101,,,,,,
"34",,,,31,1107,,,,,,
"35",,,,31,1238,,,,,,
"36",,,,33,1059,,,,,,
"37",,,,44,1154,,,,,,
"38",,,,46,1029,,,,,,
"39",,,,46,1087,,,,,,
"40",,,,46,1115,,,,,,
"41",,,,46,1224,,,,,,
"42",,,,47,1012,,,,,,
"43",,,,47,1031,,,,,,
"44",,,,47,1036,,,,,,
"45",,,,47,1068,,,,,,
"46",,,,47,1083,,,,,,
"47",,,,47,1085,,,,,,
"48",,,,47,1090,,,,,,
"49",,,,47,1095,,,,,,
"50",,,,47,1102,,,,,,
"51",,,,47,1117,,,,,,
"52",,,,47,1156,,,,,,
"53",,,,47,1229,,,,,,
"54",,,,48,1012,,,,,,
"55",,,,48,1031,,,,,,
"56",,,,48,1036,,,,,,
"57",,,,48,1056,,,,,,
"58",,,,48,1068,,,,,,
"59",,,,48,1069,,,,,,
"60",,,,48,1083,,,,,,
"61",,,,48,1085,,,,,,
"62",,,,48,1090,,,,,,
"63",,,,48,1095,,,,,,
"64",,,,48,1098,,,,,,
"65",,,,48,1102,,,,,,
"66",,,,48,1117,,,,,,
"67",,,,48,1177,,,,,,
"68",,,,48,1178,,,,,,
"69",,,,48,1180,,,,,,
"70",,,,48,1181,,,,,,
"71",,,,48,1182,,,,,,
"72",,,,48,1183,,,,,,
"73",,,,48,1184,,,,,,
"74",,,,48,1189,,,,,,
"75",,,,48,1229,,,,,,
"76",,,,48,1231,,,,,,
"77",,,,49,1104,,,,,,
"78",,,,49,1121,,,,,,
"79",,,,49,1161,,,,,,
"80",,,,49,1171,,,,,,
"81",,,,49,1215,,,,,,
"82",,,,49,1221,,,,,,
"83",,,,49,1228,,,,,,
"84",,,,49,1232,,,,,,
"85",,,,49,1234,,,,,,
"86",,,,49,1236,,,,,,
"87",,,,49,1241,,,,,,
"88",,,,49,1243,,,,,,
"89",,,,49,1245,,,,,,
"90",,,,50,1028,,,,,,
"91",,,,50,1155,,,,,,
"92",,,,50,1167,,,,,,
"93",,,,50,1169,,,,,,
"94",,,,50,1186,,,,,,
"95",,,,50,1187,,,,,,
"96",,,,50,1225,,,,,,
"97",,,,51,1226,,,,,,
"98",,,,51,1230,,,,,,
"99",,,,51,1237,,,,,,
"100",,,,62,1214,,,,,,
"101",,,,62,1216,,,,,,
"102",,,,62,1222,,,,,,
"103",,,,62,1244,,,,,,
"104",,,,68,1175,,,,,,
