"Date","Pl","Tag","Q","Spr","Dne","Tt","Spread","Done","Note","Old_Note"
"07-01",1,1239,"",,,"",,,,"can'tfind"
"07-05",2,1007,"",0,4,,-9,-9,,""
"07-05",2,1009,"",0,7,,-9,-9,,""
"07-05",2,1023,"",0,6,,-9,-9,,""
"07-05",2,1008,"",0,9,,,,,""
"07-05",2,1015,"",0,1,"",,,,""
"07-05",2,1054,"",0,2,,,,,"1stemgrazed"
"07-01",2,1247,"x",,,"",,,,"can'tfind;inplot14;improvethisnephew"
"07-05",2,1262,"",0,2,,,,,""
"07-05",3,1073,"",0,4,,,,,""
"07-05",3,1186,"",3,0,"",,,,""
"07-05",3,1188,"",1,0,"",,,,""
"07-05",3,1200,"",7,0,"",,,,""
"07-05",5,1129,"",0,0,"",,,,"yv"
"07-05",5,1197,"",5,2,,,,,""
"07-05",6,1001,"",0,4,,-9,-9,,""
"07-05",8,1005,"",0,5,,,,,""
"07-05",9,1253,"",0,1,,-9,-9,,""
"07-05",10,1233,"",0,4,,-9,-9,,""
"07-05",10,1259,"",0,1,,-9,-9,,""
"07-05",10,1042,"",0,4,,,,,""
"07-05",10,1273,"",0,1,,,,,""
"07-01",12,1048,"",,,"",,,,"can'tfind"
"07-01",12,1146,"",,,"",,,,"can'tfind"
"07-05",13,1193,"",3,1,"",,,,""
"07-05",13,1252,"",1,6,,,,,""
"07-05",13,1261,"",4,3,,,,,""
"07-05",13,1302,"",2,1,"",,,,""
"07-01",14,1077,"",0,4,"",-9,-9,,""
"07-01",14,1120,"",0,8,"",-9,-9,,""
"07-01",14,1174,"",0,8,"",-9,-9,,""
"07-01",14,1212,"",0,3,"",-9,-9,,""
"07-01",14,1219,"",0,4,"",-9,-9,,"1aborted"
"07-01",14,1247,"",0,1,"",-9,-9,,""
"07-05",18,1223,"",0,1,,,,,""
"07-05",18,1258,"",1,8,,,,,""
"07-05",19,1227,"",0,6,,,,,"OUTSIDENE"
"07-05",20,1306,"",0,0,"",,,,"1yv"
"07-05",21,1033,"",0,3,,,,,""
"07-05",22,1057,"",0,8,,-9,-9,,""
"07-01",22,1065,"",0,1,"",-9,-9,,"seed"
"07-05",22,1071,"",0,2,,-9,-9,,""
"07-05",22,1079,"",0,3,,-9,-9,,""
"07-05",22,1084,"",0,3,,-9,-9,,""
"07-05",22,1271,"",0,3,,-9,-9,,""
"07-05",22,1025,"",0,3,,,,,""
"07-05",22,1055,"",0,5,,,,,""
"07-05",22,1166,"",2,0,,,,,""
"07-05",22,1283,"",0,2,,,,,""
"07-05",22,1284,"",2,2,,,,,""
"07-05",22,1297,"",0,8,,,,,""
"07-05",23,1272,"",5,11,,,,,""
"07-05",24,1045,"",0,4,,-9,-9,,""
"07-05",24,1064,"",0,1,,,,,""
"07-05",24,1289,"",1,0,,,,,""
"07-05",24,1315,"",1,1,"",,,,""
"07-01",25,1113,"",0,3,"",-9,-9,,""
"07-05",25,1081,"",,,,,,,"can'tfind"
"07-01",25,1106,"",0,4,"",,,,""
"07-01",26,1082,"",0,3,"",-9,-9,,""
"07-01",26,1250,"",0,1,"",-9,-9,,""
"07-01",26,1173,"",,,"",,,,"can'tfind"
"07-01",27,1061,"",0,3,"",-9,-9,,""
"07-05",27,1076,"",0,15,,,,,""
"07-05",27,1092,"",5,15,,,,,""
"07-05",27,1097,"",0,10,,,,,""
"07-05",27,1108,"",2,11,,,,,""
"07-05",27,1179,"",8,0,,,,,""
"07-05",27,1195,"",5,4,,,,,""
"07-05",27,1249,"",7,1,,,,,""
"07-05",27,1254,"",1,4,,,,,""
"07-05",27,1276,"",1,5,,,,,""
"07-05",27,1280,"",2,4,,,,,""
"07-01",27,1286,"",1,0,"",,,,""
"07-05",27,1298,"",0,6,,,,,""
"07-05",28,1251,"",0,5,,,,,"OUTSIDESW"
"07-05",29,1260,"",1,4,,,,,""
"07-05",29,1300,"",0,0,"",,,,"yv"
"07-05",30,1194,"",1,0,"",,,,""
"07-05",30,1255,"",2,4,"",,,,"[iggy-why?]"
"07-01",31,1094,"",0,9,"",-9,-9,,""
"07-01",31,1101,"",0,5,"",-9,-9,,""
"07-05",31,1248,"",0,1,,-9,-9,,""
"07-05",31,1099,"",,,,,,,"can'tfind"
"07-05",31,1100,"",0,3,,,,,""
"07-05",31,1107,"",1,17,,,,,""
"07-05",32,1109,"",4,8,,,,,""
"07-05",32,1126,"",3,0,"",,,,""
"07-05",32,1309,"",0,0,"",,,,"1yv"
"07-05",32,1316,"",0,2,"",,,,""
"07-05",33,1059,"",0,8,,-9,-9,,""
"07-05",33,1266,"",0,4,,,,,""
"07-05",42,1141,"",1,0,,,,,"OUTSIDE;ignorefor1309"
"07-05",42,1309,"",1,1,"",,,,""
"07-05",43,1203,"",0,1,,,,,""
"07-05",43,1246,"",2,1,,,,,""
"07-05",43,1268,"",0,1,,,,,""
"07-05",43,1278,"",0,2,,,,,""
"07-05",43,1285,"",0,1,,,,,""
"07-05",43,1290,"",2,7,,,,,""
"07-05",43,1292,"",0,2,,,,,""
"07-05",43,1293,"",6,0,,,,,""
"07-05",43,1299,"",2,0,"",,,,""
"07-05",43,1311,"",3,2,"",,,,""
"07-05",44,1154,"",0,2,,-9,-9,,"OUTSDENW"
"07-05",45,1257,"",0,2,,-9,-9,,""
"07-05",45,1264,"",0,2,,-9,-9,,""
"07-05",45,1275,"",0,3,,-9,-9,,""
"07-05",45,1207,"",0,4,,,,,""
"07-05",45,1265,"",0,1,,,,,""
"07-05",45,1287,"",,,,,,,"can'tfind"
"07-05",46,1029,"",0,1,,-9,-9,,"droppedabunch"
"07-01",46,1087,"",0,13,"",-9,-9,,"seeds"
"07-01",46,1089,"",0,4,"",-9,-9,,""
"07-01",46,1224,"",0,1,"",-9,-9,,"seedsnotready"
"07-05",47,1066,"",0,2,,-9,-9,,""
"07-05",47,1086,"",0,1,,-9,-9,,""
"07-05",47,1072,"",0,7,,,,,""
"07-05",47,1093,"",0,3,,,,,""
"07-05",47,1118,"",6,2,,,,,""
"07-05",47,1156,"x",0,2,,,,,"others?Nootherstemsnear"
"07-05",47,1229,"",,,,,,,"can'tfind"
"07-05",47,1235,"",1,2,,,,,""
"07-01",48,1012,"",0,13,"",-9,-9,,""
"07-01",48,1036,"",0,9,"",-9,-9,,"only3seedsleft"
"07-01",48,1083,"",0,6,"",-9,-9,,""
"07-01",48,1085,"",0,6,"",-9,-9,,""
"07-01",48,1184,"",0,7,"",-9,-9,,""
"07-01",48,1240,"",0,2,"",-9,-9,,""
"07-01",48,1274,"",0,2,"",-9,-9,,""
"07-05",48,1056,"",,,,,,,"can'tfind;is1036?"
"07-05",48,1098,"",,,,,,,"can'tfind"
"07-05",48,1181,"",,,,,,,"can'tfind"
"07-01",49,1104,"",0,5,"",-9,-9,,""
"07-01",49,1121,"",0,4,"",-9,-9,,"seeds"
"07-01",49,1171,"",0,4,"",-9,-9,,""
"07-01",49,1215,"",0,16,"",-9,-9,,""
"07-01",49,1228,"",0,2,"",-9,-9,,""
"07-01",49,1279,"",0,2,"",-9,-9,,""
"07-05",49,1221,"",,,,,,,"can'tfind"
"07-05",49,1231,"",,,,,,,"can'tfind"
"07-01",49,1234,"",,,"",,,,"can'tfind"
"07-05",49,1241,"",0,15,,,,,""
"07-05",49,1243,"",,,,,,,"can'tfind"
"07-05",49,1282,"",0,5,,,,,""
"07-01",50,1167,"",0,2,"",-9,-9,,"seedsgone"
"07-01",50,1169,"",0,3,"",-9,-9,,""
"07-01",50,1187,"",0,1,"",-9,-9,,"seed"
"07-05",50,1225,"",0,3,,-9,-9,,""
"07-05",50,1281,"",0,1,,-9,-9,,""
"07-05",50,1028,"",0,3,,,,,""
"07-05",50,1183,"",,,,,,,"can'tfind"
"07-05",50,1247,"",,,,,,,"can'tfind"
"07-05",51,1230,"",0,5,,-9,-9,,""
"07-05",51,1237,"",0,6,,,,,""
"07-05",51,1256,"",0,2,,,,,""
"07-05",51,1267,"",0,4,,,,,""
"07-05",51,1277,"",0,2,,,,,""
"07-05",52,1307,"",0,0,"",,,,"1yv"
"07-05",53,1314,"",4,1,"",,,,"OUTSIDESW"
"07-05",61,1181,"",0,1,,-9,-9,,""
"07-05",61,1125,"",4,0,,,,,""
"07-05",61,1170,"",5,3,,,,,""
"07-05",61,1288,"",,,,,,,"can'tfind"
"07-05",61,1294,"",5,3,,,,,""
"07-05",61,1295,"",,,,,,,"can'tfind"
"07-05",61,1303,"",0,0,"",,,,"yv"
"07-05",62,1214,"",0,3,,-9,-9,,""
"07-05",62,1222,"",0,2,,-9,-9,,""
"07-05",62,1244,"",0,5,,-9,-9,,""
"07-01",62,1288,"",0,1,"",-9,-9,,""
"07-05",62,1216,"",0,11,,,,,""
"07-05",62,1295,"",0,5,,,,,""
"07-05",65,1130,"",4,0,,,,,""
"07-05",67,1291,"",0,3,,,,,""
"07-05",68,1175,"",0,1,,-9,-9,,"1204is(4;0)"
"07-05",68,1263,"",0,1,,,,,"loosettinplot"
"07-05",69,1305,"",0,0,"",,,,"yv"
