"Date","Pl","Tag","Q","Spr","Dne","Tt","Spread","Done","Note","Old_Note"
"07-05",2,1007,"",0,4,,-9,-9,,""
"07-09",2,1008,"",0,9,,-9,-9,,""
"07-05",2,1009,"",0,7,,-9,-9,,""
"07-09",2,1015,"",0,1,,-9,-9,,""
"07-05",2,1023,"",0,6,,-9,-9,,""
"07-09",2,1054,"",0,2,,-9,-9,,""
"07-09",2,1262,"",0,2,,-9,-9,,"seedishuge"
"07-09",3,1073,"",0,4,,-9,-9,,""
"07-09",3,1186,"",3,2,,,,,""
"07-09",3,1188,"",3,0,,,,,""
"07-09",3,1200,"",3,6,,,,,""
"07-09",5,1129,"",1,0,,,,,""
"07-09",5,1197,"",0,7,,,,,""
"07-05",6,1001,"",0,4,,-9,-9,,""
"07-09",8,1005,"",0,5,,-9,-9,,""
"07-05",9,1253,"",0,1,,-9,-9,,""
"07-09",10,1042,"",0,4,,-9,-9,,""
"07-05",10,1233,"",0,4,,-9,-9,,""
"07-05",10,1259,"",0,1,,-9,-9,,""
"07-09",10,1273,"",0,1,,-9,-9,,""
"07-09",13,1193,"",0,4,,,,,""
"07-09",13,1252,"",0,7,,,,,""
"07-09",13,1261,"",0,8,,,,,""
"07-09",13,1302,"",0,4,,,,,""
"07-09",18,1223,"",0,1,,-9,-9,,""
"07-09",18,1258,"",0,8,,,,,""
"07-09",19,1227,"",0,6,,-9,-9,,""
"07-09",20,1306,"",1,0,,,,,""
"07-09",21,1033,"",0,3,,-9,-9,,""
"07-09",22,1025,"",0,3,,-9,-9,,""
"07-09",22,1055,"",0,5,,-9,-9,,""
"07-05",22,1057,"",0,8,,-9,-9,,""
"07-05",22,1071,"",0,2,,-9,-9,,""
"07-05",22,1079,"",0,3,,-9,-9,,""
"07-05",22,1084,"",0,3,,-9,-9,,""
"07-05",22,1271,"",0,3,,-9,-9,,""
"07-09",22,1283,"",0,2,,-9,-9,,""
"07-09",22,1297,"",0,7,,-9,-9,,""
"07-09",22,1166,"",0,2,,,,,""
"07-09",22,1284,"",0,4,,,,,""
"07-09",23,1272,"",0,19,,,,,"OUTSIDENE"
"07-05",24,1045,"",0,4,,-9,-9,,""
"07-09",24,1064,"",0,1,,-9,-9,,""
"07-09",24,1289,"",0,1,,,,,""
"07-09",24,1315,"",0,2,,,,,""
"07-05",25,1081,"",,,,,,,"can'tfind"
"07-09",27,1076,"",0,15,,-9,-9,,""
"07-09",27,1097,"",0,10,,-9,-9,,""
"07-09",27,1298,"",0,6,,-9,-9,,""
"07-09",27,1092,"",0,22,,,,,""
"07-09",27,1108,"",0,13,,,,,""
"07-09",27,1179,"",2,6,,,,,""
"07-09",27,1195,"",0,9,,,,,""
"07-09",27,1249,"",0,8,,,,,""
"07-09",27,1254,"",0,5,,,,,""
"07-09",27,1276,"",0,6,,,,,""
"07-09",27,1280,"",0,6,,,,,""
"07-09",28,1251,"",0,5,,-9,-9,,"OUTSIDESW"
"07-09",29,1260,"",0,5,,,,,""
"07-09",29,1300,"",3,1,,,,,""
"07-09",30,1194,"",8,0,,,,,""
"07-09",30,1255,"",0,6,,,,,""
"07-09",31,1100,"",0,3,,-9,-9,,""
"07-05",31,1248,"",0,1,,-9,-9,,""
"07-05",31,1099,"",,,,,,,"can'tfind"
"07-09",31,1107,"",0,19,,,,,""
"07-09",32,1316,"",0,2,,-9,-9,,""
"07-09",32,1109,"",0,13,,,,,""
"07-09",32,1126,"",0,3,,,,,"spiderweb"
"07-09",32,1309,"x",8,0,,,,,"tagis1209;mprove"
"07-05",33,1059,"",0,8,,-9,-9,,""
"07-09",33,1266,"",0,4,,-9,-9,,""
"07-05",42,1141,"",1,0,,,,,"OUTSIDE;ignorefor1309"
"07-09",42,1309,"",0,3,,,,,""
"07-09",43,1203,"",0,1,,-9,-9,,""
"07-09",43,1268,"",0,1,,-9,-9,,""
"07-09",43,1278,"",0,2,,-9,-9,,""
"07-09",43,1285,"",0,1,,-9,-9,,""
"07-09",43,1292,"",0,2,,-9,-9,,""
"07-09",43,1246,"",0,5,,,,,""
"07-09",43,1290,"",0,8,,,,,""
"07-09",43,1293,"",0,6,,,,,""
"07-09",43,1299,"",0,2,,,,,""
"07-09",43,1311,"",0,5,,,,,""
"07-05",44,1154,"",0,2,,-9,-9,,"OUTSDENW"
"07-09",45,1207,"",0,4,,-9,-9,,""
"07-05",45,1257,"",0,2,,-9,-9,,""
"07-05",45,1264,"",0,2,,-9,-9,,""
"07-09",45,1265,"",0,1,,-9,-9,,""
"07-05",45,1275,"",0,3,,-9,-9,,""
"07-05",45,1287,"",,,,,,,"can'tfind"
"07-05",46,1029,"",0,1,,-9,-9,,"droppedabunch"
"07-05",47,1066,"",0,2,,-9,-9,,""
"07-09",47,1072,"",0,7,,-9,-9,,""
"07-05",47,1086,"",0,1,,-9,-9,,""
"07-09",47,1093,"",0,3,,-9,-9,,""
"07-09",47,1156,"",0,3,,-9,-9,,""
"07-09",47,1118,"",1,7,,,,,""
"07-05",47,1229,"",,,,,,,"can'tfind"
"07-09",47,1235,"",0,3,,,,,""
"07-05",48,1056,"",,,,,,,"can'tfind;is1036?"
"07-05",48,1098,"",,,,,,,"can'tfind"
"07-05",48,1181,"",,,,,,,"can'tfind"
"07-05",49,1221,"",,,,,,,"can'tfind"
"07-05",49,1231,"",,,,,,,"can'tfind"
"07-05",49,1241,"",0,15,,,,,""
"07-05",49,1243,"",,,,,,,"can'tfind"
"07-05",49,1282,"",0,5,,,,,""
"07-09",50,1028,"",0,2,,-9,-9,,""
"07-05",50,1225,"",0,3,,-9,-9,,""
"07-05",50,1281,"",0,1,,-9,-9,,""
"07-05",50,1183,"",,,,,,,"can'tfind"
"07-05",50,1247,"",,,,,,,"can'tfind"
"07-05",51,1230,"",0,5,,-9,-9,,""
"07-09",51,1237,"",0,5,,-9,-9,,""
"07-09",51,1256,"",0,2,,-9,-9,,""
"07-09",51,1267,"",0,4,,-9,-9,,""
"07-09",51,1277,"",0,2,,-9,-9,,"1seeddropped"
"07-09",52,1307,"",1,1,,,,,""
