Plot,Tag,Q,N_infl,Fl_open,Fl_done,Done,Last_date,Old_info,Old_q,Old_notes
104,2026,,,,,,6/23/22,2;0;3,TRUE,prev should be 212
104,2055,,,,,,6/23/22,1;1;0,,
104,2060,,,,,,6/23/22,1;0;2,,
104,2062,,,,,,6/23/22,1;4;0,,
104,2089,,,,,,6/23/22,0;0;0,,yv
104,2091,,,,,,6/23/22,1;2;0,,florivory
104,2019,,,,,done,6/23/22,1;0;4,,
104,2049,,,,,done,6/23/22,1;0;2,,
107,2118,,,,,,6/23/22,1;3;0,,
111,2028,,,,,,6/23/22,1;0;3,,
118,2029,,,,,,6/23/22,1;1;5,,
118,2041,,,,,,6/23/22,2;4;7,,
123,2097,,,,,,6/23/22,1;4;0,,
127,2001,,,,,,6/23/22,3;15;1,,
127,2027,,,,,,6/23/22,2;10;8,,
138,2053,,,,,,6/23/22,0;0;0,,yv
147,2099,,,,,,6/23/22,0;0;0,,yv
149,2056,,,,,,6/23/22,1;6;0,,
149,2059,,,,,,6/23/22,1;1;0,,
149,2061,,,,,,6/23/22,0;0;0,,yv
149,2068,,,,,,6/23/22,2;0;11,,
149,2069,,,,,,6/23/22,4;10;5,,yv; two flowers grazed
149,2093,,,,,,6/23/22,1;1;2,,
149,2094,,,,,,6/23/22,1;2;0,,
149,2010,,,,,done,6/23/22,1;0;4,,
152,2018,,,,,,6/23/22,1;4;4,,
152,2030,,,,,,6/23/22,1;0;1,,
152,2033,,,,,,6/23/22,1;2;4,,
152,2051,,,,,,6/23/22,2;4;0,,
152,2063,,,,,,6/23/22,2;8;1,,accidentally knocked one off
152,2065,,,,,,6/23/22,1;3;0,,yv
152,2070,,,,,,6/23/22,1;1;0,,
152,2072,,,,,,6/23/22,2;10;2,,
152,2073,,,,,,6/23/22,2;3;1,,
152,2095,,,,,,6/23/22,1;1;0,,
152,2100,,,,,,6/23/22,0;0;0,,yv
152,2108,,,,,,6/23/22,1;1;0,,
152,2119,,,,,,6/23/22,0;0;0,,yv
153,2115,,,,,,6/23/22,0;0;0,,yv
154,2043,,,,,,6/23/22,2;8;2,,
154,2047,,,,,,6/23/22,1;7;0,,
154,2074,,,,,,6/23/22,1;2;0,,
154,2090,,,,,,6/23/22,1;2;3,,
154,2102,,,,,,6/23/22,0;0;0,,yv
163,2009,,,,,,6/23/22,1;1;0,,florivorized
163,2035,,,,,,6/23/22,1;2;3,,
163,2038,,,,,,6/23/22,1;3;3,,
163,2064,,,,,,6/23/22,1;1;4,,ant
163,2075,,,,,,6/23/22,2;2;9,,
163,2076,,,,,,6/23/22,1;2;2,,2yv
163,2082,,,,,,6/23/22,2;5;0,,yv
163,2084,,,,,,6/23/22,2;7;0,,
163,2087,,,,,,6/23/22,1;3;0,,
163,2088,,,,,,6/23/22,NA;NA;NA,,
163,2098,,,,,,6/23/22,3;6;1,,
163,2103,,,,,,6/23/22,1;1;0,,
163,2106,,,,,,6/23/22,1;3;0,,
163,2117,,,,,,6/23/22,0;0;0,,yv
163,2122,,,,,,6/23/22,0;0;0,,2yv
163,2125,,,,,,6/23/22,0;0;0,,yv
164,2003,,,,,,6/23/22,1;4;6,,
164,2015,,,,,,6/23/22,2;2;0,,yv
164,2020,,,,,,6/23/22,3;10;12,,
164,2031,,,,,,6/23/22,3;9;19,,
