"Page","Date","Species","Plot","Tag","Racemes","Infl_spread","Infl_done","Twist.ties","Q","Note"
,,,2,1007,,,,,,
,,,2,1008,,,,,,
,,,2,1009,,,,,,
,,,2,1054,,,,,,
,,,6,1001,,,,,,
,,,10,1233,,,,,,
,,,12,1048,,,,,,
,,,12,1146,,,,,,
,,,14,1070,,,,,,
,,,14,1077,,,,,,
,,,14,1081,,,,,,
,,,14,1120,,,,,,
,,,14,1160,,,,,,
,,,14,1174,,,,,,
,,,14,1212,,,,,,
,,,14,1218,,,,,,
,,,14,1219,,,,,,
,,,21,1033,,,,,,
,,,22,1043,,,,,,
,,,22,1056,,,,,,
,,,22,1060,,,,,,
,,,22,1065,,,,,,
,,,22,1077,,,,,,
,,,22,1079,,,,,,
,,,22,1119,,,,,,
,,,22,1297,,,,,,
,,,23,1272,,,,,,
,,,24,1296,,,,,,
,,,25,1075,,,,,,
,,,25,1081,,,,,,
,,,25,1105,,,,,,
,,,25,1106,,,,,,
,,,25,1113,,,,,,
,,,25,1116,,,,,,
,,,26,1250,,,,,,
,,,27,1061,,,,,,
,,,27,1092,,,,,,
,,,30,1255,,,,,,
,,,31,1094,,,,,,
,,,31,1099,,,,,,
,,,31,1100,,,,,,
,,,31,1101,,,,,,
,,,31,1107,,,,,,
,,,31,1238,,,,,,
,,,33,1059,,,,,,
,,,33,1266,,,,,,
,,,43,1246,,,,,,
,,,43,1278,,,,,,
,,,43,1285,,,,,,
,,,43,1290,,,,,,
,,,43,1292,,,,,,
,,,43,1293,,,,,,
,,,44,1154,,,,,,
,,,45,1257,,,,,,
,,,45,1264,,,,,,
,,,45,1265,,,,,,
,,,45,1275,,,,,,
,,,46,1029,,,,,,
,,,46,1087,,,,,,
,,,46,1115,,,,,,
,,,46,1224,,,,,,
,,,47,1066,,,,,,
,,,47,1083,,,,,,
,,,47,1085,,,,,,
,,,47,1086,,,,,,
,,,47,1093,,,,,,
,,,47,1095,,,,,,
,,,47,1102,,,,,,
,,,47,1117,,,,,,
,,,47,1118,,,,,,
,,,47,1156,,,,,,
,,,47,1229,,,,,,
,,,48,1012,,,,,,
,,,48,1031,,,,,,
,,,48,1036,,,,,,
,,,48,1069,,,,,,
,,,48,1083,,,,,,
,,,48,1085,,,,,,
,,,48,1090,,,,,,
,,,48,1095,,,,,,
,,,48,1098,,,,,,
,,,48,1102,,,,,,
,,,48,1117,,,,,,
,,,48,1177,,,,,,
,,,48,1178,,,,,,
,,,48,1180,,,,,,
,,,48,1181,,,,,,
,,,48,1182,,,,,,
,,,48,1183,,,,,,
,,,48,1184,,,,,,
,,,48,1189,,,,,,
,,,48,1229,,,,,,
,,,49,1104,,,,,,
,,,49,1121,,,,,,
,,,49,1161,,,,,,
,,,49,1171,,,,,,
,,,49,1215,,,,,,
,,,49,1221,,,,,,
,,,49,1228,,,,,,
,,,49,1232,,,,,,
,,,49,1234,,,,,,
,,,49,1236,,,,,,
,,,49,1241,,,,,,
,,,49,1243,,,,,,
,,,49,1245,,,,,,
,,,50,1028,,,,,,
,,,50,1155,,,,,,
,,,50,1167,,,,,,
,,,50,1169,,,,,,
,,,50,1186,,,,,,
,,,50,1187,,,,,,
,,,50,1225,,,,,,
,,,51,1226,,,,,,
,,,51,1230,,,,,,
,,,51,1237,,,,,,
,,,51,1256,,,,,,
,,,51,1277,,,,,,
,,,61,1294,,,,,,
,,,62,1214,,,,,,
,,,62,1216,,,,,,
,,,62,1222,,,,,,
,,,62,1244,,,,,,
,,,67,1291,,,,,,
,,,68,1175,,,,,,
