"Page","Date","Species","Plot","Tag","Racemes","Infl_spread","Infl_done","Twist.ties","Q","Note"
,,,3,1186,,,,,,
,,,3,1188,,,,,,
,,,3,1200,,,,,,
,,,5,1129,,,,,,
,,,5,1197,,,,,,
,,,13,1193,,,,,,
,,,13,1252,,,,,,
,,,13,1261,,,,,,
,,,13,1302,,,,,,
,,,18,1258,,,,,,
,,,20,1306,,,,,,
,,,22,1166,,,,,,
,,,22,1284,,,,,,
,,,23,1272,,,,,,
,,,24,1289,,,,,,
,,,24,1315,,,,,,
,,,25,1081,,,,,,
,,,27,1092,,,,,,
,,,27,1108,,,,,,
,,,27,1179,,,,,,
,,,27,1195,,,,,,
,,,27,1249,,,,,,
,,,27,1254,,,,,,
,,,27,1276,,,,,,
,,,27,1280,,,,,,
,,,29,1260,,,,,,
,,,29,1300,,,,,,
,,,30,1194,,,,,,
,,,30,1255,,,,,,
,,,31,1099,,,,,,
,,,31,1107,,,,,,
,,,32,1109,,,,,,
,,,32,1126,,,,,,
,,,32,1309,,,,,,
,,,42,1141,,,,,,
,,,42,1309,,,,,,
,,,43,1246,,,,,,
,,,43,1290,,,,,,
,,,43,1293,,,,,,
,,,43,1299,,,,,,
,,,43,1311,,,,,,
,,,45,1287,,,,,,
,,,47,1118,,,,,,
,,,47,1229,,,,,,
,,,47,1235,,,,,,
,,,48,1056,,,,,,
,,,48,1098,,,,,,
,,,48,1181,,,,,,
,,,49,1221,,,,,,
,,,49,1231,,,,,,
,,,49,1241,,,,,,
,,,49,1243,,,,,,
,,,49,1282,,,,,,
,,,50,1183,,,,,,
,,,50,1247,,,,,,
,,,52,1307,,,,,,
,,,53,1314,,,,,,
,,,61,1125,,,,,,
,,,61,1170,,,,,,
,,,61,1288,,,,,,
,,,61,1294,,,,,,
,,,61,1295,,,,,,
,,,61,1303,,,,,,
,,,65,1130,,,,,,
,,,69,1305,,,,,,
